class;manufacturer
0;AM
1;Acura
2;Aston
3;Audi
4;BMW
5;Bentley
6;Bugatti
7;Buick
8;Cadillac
9;Chevrolet
10;Chrysler
11;Daewoo
12;Dodge
13;Eagle
14;FIAT
15;Ferrari
16;Fisker
17;Ford
18;GMC
19;Geo
20;HUMMER
21;Honda
22;Hyundai
23;Infiniti
24;Isuzu
25;Jaguar
26;Jeep
27;Lamborghini
28;Land
29;Lincoln
30;MINI
31;Maybach
32;Mazda
33;McLaren
34;Mercedes-Benz
35;Mitsubishi
36;Nissan
37;Plymouth
38;Porsche
39;Ram
40;Rolls-Royce
41;Scion
42;Spyker
43;Suzuki
44;Tesla
45;Toyota
46;Volkswagen
47;Volvo
48;smart
