x1;y1;x2;y2;class;manufacturer;type;class_name;manufacturer_name;type_name;image
39;116;569;375;14;3;1;Audi TTS Coupe 2012;Audi;Coupe;00001.jpg
36;116;868;587;3;1;4;Acura TL Sedan 2012;Acura;Sedan;00002.jpg
85;109;601;381;91;12;6;Dodge Dakota Club Cab 2007;Dodge;Truck;00003.jpg
621;393;1484;1096;134;22;4;Hyundai Sonata Hybrid Sedan 2012;Hyundai;Sedan;00004.jpg
14;36;133;99;106;17;6;Ford F-450 Super Duty Crew Cab 2012;Ford;Truck;00005.jpg
259;289;515;416;123;19;0;Geo Metro Convertible 1993;Geo;Convertible;00006.jpg
88;80;541;397;89;12;5;Dodge Journey SUV 2012;Dodge;SUV;00007.jpg
73;79;591;410;96;12;4;Dodge Charger Sedan 2012;Dodge;Sedan;00008.jpg
20;126;1269;771;167;35;4;Mitsubishi Lancer Sedan 2012;Mitsubishi;Sedan;00009.jpg
21;110;623;367;58;9;5;Chevrolet Traverse SUV 2012;Chevrolet;SUV;00010.jpg
51;93;601;393;49;7;4;Buick Verano Sedan 2012;Buick;Sedan;00011.jpg
6;62;499;286;186;45;5;Toyota Sequoia SUV 2012;Toyota;SUV;00012.jpg
30;36;418;307;135;22;4;Hyundai Elantra Sedan 2007;Hyundai;Sedan;00013.jpg
31;246;778;540;85;12;3;Dodge Caravan Minivan 1997;Dodge;Minivan;00014.jpg
32;77;589;379;193;47;2;Volvo C30 Hatchback 2012;Volvo;Hatchback;00015.jpg
27;49;611;396;172;37;1;Plymouth Neon Coupe 1999;Plymouth;Coupe;00016.jpg
39;52;233;150;14;3;1;Audi TTS Coupe 2012;Audi;Coupe;00017.jpg
3;8;190;147;73;9;4;Chevrolet Malibu Sedan 2007;Chevrolet;Sedan;00018.jpg
247;287;1366;761;192;46;2;Volkswagen Beetle Hatchback 2012;Volkswagen;Hatchback;00019.jpg
17;281;961;596;57;9;1;Chevrolet Corvette Ron Fellows Edition Z06 2007;Chevrolet;Coupe;00020.jpg
